filepath,label,duration_s,segment_index,iters,time_sec,J_final
./recordings/H1/181017_1544.wav,1,5,5,17,0.07497119903564453,1.3425355749856437e-06
./recordings/H1/181017_1617.wav,1,5,1,12,0.1524670124053955,5.4883559230065934e-06
./recordings/H1/181017_1617.wav,1,5,2,17,0.11038947105407715,4.115185969489373e-06
./recordings/H1/181017_1617.wav,1,5,3,14,0.17155909538269043,4.697209799588561e-06
./recordings/H1/181017_1617.wav,1,5,4,34,0.21204686164855957,5.281728668271093e-06
./recordings/H1/181017_1617.wav,1,5,5,22,0.10286498069763184,5.722562252866134e-06
./recordings/H1/181020_2110.wav,1,5,1,15,0.0869286060333252,2.66406763539803e-05
./recordings/H1/181020_2110.wav,1,5,2,27,0.2607150077819824,2.5877432527999758e-05
./recordings/H1/181020_2110.wav,1,5,3,23,0.17823076248168945,2.267486048400868e-05
./recordings/H1/181020_2110.wav,1,5,4,16,0.12546443939208984,2.3079396218404186e-05
./recordings/H1/181020_2110.wav,1,5,5,20,0.2214345932006836,1.275342668078319e-05
./recordings/H1/181021_2111.wav,1,5,1,100,0.668745756149292,2.0400920938750005e-05
./recordings/H1/181021_2111.wav,1,5,2,19,0.012209892272949219,5.983023202443539e-06
./recordings/H1/181021_2111.wav,1,5,3,18,0.1261289119720459,2.673048807049693e-05
./recordings/H1/181021_2111.wav,1,5,4,100,0.5312032699584961,3.51716358900754e-05
./recordings/H1/181021_2111.wav,1,5,5,19,0.26706767082214355,5.622151304401094e-06
./recordings/H1/181121_2105.wav,1,5,1,18,0.010604143142700195,2.3931035639074735e-05
./recordings/H1/181121_2105.wav,1,5,2,100,0.4444572925567627,3.403757442683516e-05
./recordings/H1/181121_2105.wav,1,5,3,18,0.08906841278076172,3.360718315037112e-05
./recordings/H1/181121_2105.wav,1,5,4,24,0.06196308135986328,2.9779145266233068e-05
./recordings/H1/181121_2105.wav,1,5,5,19,0.11779618263244629,0.0001066455207190364
./recordings/H1/181121_2128.wav,1,5,1,16,0.008841753005981445,0.0001602867480400007
./recordings/H1/181121_2128.wav,1,5,2,100,0.40709567070007324,0.0002773067984713335
./recordings/H1/181121_2128.wav,1,5,3,22,0.1531229019165039,0.00012408507710304624
./recordings/H1/181121_2128.wav,1,5,4,17,0.09773778915405273,0.00022396293757265365
./recordings/H1/181121_2128.wav,1,5,5,20,0.011767387390136719,0.00013552307904043912
./recordings/H1/181122_0016.wav,1,5,1,20,0.010884761810302734,1.7625036007099574e-06
./recordings/H1/181122_0016.wav,1,5,2,18,0.010312080383300781,1.1721239524750254e-06
./recordings/H1/181122_0016.wav,1,5,3,100,0.44026613235473633,8.26507726989344e-07
./recordings/H1/181122_0016.wav,1,5,4,19,0.04987835884094238,2.669774662983559e-06
./recordings/H1/181122_0016.wav,1,5,5,28,0.015368461608886719,4.122618974029642e-05
./recordings/H1/181122_1041.wav,1,5,1,20,0.16285991668701172,0.0008012404902510975
./recordings/H1/181122_1041.wav,1,5,2,26,0.014602899551391602,0.000579562190914368
./recordings/H1/181122_1041.wav,1,5,3,18,0.08672165870666504,0.0009681821085712817
./recordings/H1/181122_1041.wav,1,5,4,20,0.10161161422729492,0.0016466544886976548
./recordings/H1/181122_1041.wav,1,5,5,20,0.01101064682006836,0.00047978013807453674
./recordings/H1/181122_1123.wav,1,5,1,15,0.06173872947692871,0.000339972544104652
./recordings/H1/181122_1123.wav,1,5,2,17,0.05080699920654297,0.00027787743320585833
./recordings/H1/181122_1123.wav,1,5,3,15,0.0935826301574707,0.000285504524314341
./recordings/H1/181122_1123.wav,1,5,4,13,0.06840300559997559,0.0002100382064671351
./recordings/H1/181122_1123.wav,1,5,5,15,0.05979442596435547,0.00017942771533156177
./recordings/H1/181122_1251.wav,1,5,1,16,0.08107566833496094,0.00018248011117801062
./recordings/H1/181122_1251.wav,1,5,2,20,0.07900643348693848,0.0003168625274052952
./recordings/H1/181122_1251.wav,1,5,3,14,0.06683063507080078,0.00016676772290372452
./recordings/H1/181122_1251.wav,1,5,4,17,0.09387350082397461,0.00019522905583098805
./recordings/H1/181122_1251.wav,1,5,5,21,0.16488957405090332,0.00021039656932958669
./recordings/H1/181122_1302.wav,1,5,1,19,0.10086226463317871,5.077857488080315e-05
./recordings/H1/181122_1302.wav,1,5,2,21,0.2963745594024658,4.146132798217645e-05
